time,result,table,controller,site,power_factor_avg,power_factor_l1,power_factor_l2,power_factor_l3,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_l1,apparent_power_l2,apparent_power_l3,apparent_power_total,power_l1,power_l2,power_l3
2026-01-27 02:30:00+00:00,0.0,2.027027027027027,0.0,0.0,0.7014285714285714,0.7328571428571429,0.7057142857142856,0.66,0.0,5.927142857142856,5.588571428571428,8.697142857142858,234.37142857142857,232.27142857142857,234.47142857142856,1.3854000000000002,1.2946557142857142,2.039062857142857,4.719772857142857,1.0480917142857142,0.9129114285714286,1.3479385714285714
2026-01-27 02:45:00+00:00,0.0,1.945945945945946,0.0,0.0,0.68,0.66,0.71,0.6628571428571429,0.0,4.275714285714286,5.571428571428571,8.66,234.1,231.67142857142858,233.90000000000003,0.997808,1.288412857142857,2.02448,4.314152857142857,0.6586664285714285,0.9114592857142857,1.3443814285714286
2026-01-27 03:00:00+00:00,0.0,1.9285714285714286,0.0,0.0,0.7025,0.72375,0.71,0.67,0.0,5.6762500000000005,5.55375,8.62125,232.9875,230.7875,233.0125,1.3212175,1.28306625,2.01006375,4.6141387499999995,0.9919487499999999,0.91238625,1.33923
2026-01-27 03:15:00+00:00,0.0,1.875,0.0,0.0,0.68,0.66,0.71,0.67,0.0,4.23,5.55,8.61,232.85,230.45000000000002,232.75,0.986087,1.27766,2.00529,4.267475,0.6525705,0.908773,1.3410650000000002
2026-01-27 03:30:00+00:00,0.0,2.0,0.0,0.0,0.7057142857142857,0.7328571428571429,0.71,0.67,0.0,5.832857142857143,5.55,8.582857142857142,232.14285714285714,230.1,232.27142857142857,1.3523312857142857,1.2749342857142858,1.9965371428571428,4.6241771428571425,1.0306469999999999,0.9104679999999999,1.332765714285714
2026-01-27 03:45:00+00:00,0.0,2.0,0.0,0.0,0.7142857142857143,0.7571428571428571,0.71,0.67,0.0,6.364285714285715,5.5442857142857145,8.575714285714286,232.01428571428573,230.05714285714288,232.21428571428572,1.4733794285714286,1.2729028571428571,1.9928757142857143,4.743408571428572,1.1577391428571429,0.912229142857143,1.3315985714285714
2026-01-27 04:00:00+00:00,0.0,2.0,0.0,0.0,0.6885714285714286,0.692857142857143,0.7114285714285714,0.67,0.0,4.75,5.53,8.55857142857143,232.31428571428572,229.91428571428574,232.21428571428572,1.0990579999999999,1.2701514285714286,1.9870085714285715,4.358569999999999,0.7770871428571429,0.9095938571428571,1.334744285714286
2026-01-27 04:15:00+00:00,0.0,1.972972972972973,0.0,0.0,0.7042857142857143,0.7157142857142856,0.72,0.67,0.0,5.251428571428571,5.522857142857142,8.542857142857143,231.62857142857143,229.32857142857145,231.55714285714288,1.2141714285714287,1.2662885714285714,1.9801385714285715,4.462359999999999,0.8956592857142857,0.9096417142857144,1.3320428571428573
2026-01-27 04:30:00+00:00,0.0,1.9722222222222223,0.0,0.0,0.7014285714285714,0.7285714285714285,0.7085714285714285,0.6628571428571429,0.0,5.894285714285714,5.595714285714286,8.717142857142857,234.71428571428572,232.65714285714284,234.8857142857143,1.3838428571428572,1.30063,2.0460042857142855,4.734032857142857,1.0459894285714286,0.9182532857142858,1.3543671428571429
2026-01-27 04:45:00+00:00,0.0,2.024390243902439,0.0,0.0,0.7,0.735,0.705,0.66,0.0,6.195,5.609999999999999,8.765,235.5,233.45,235.7,1.456005,1.3065250000000002,2.06195,4.82577,1.112084,0.919673,1.35812
2026-01-27 05:00:00+00:00,0.0,2.0,0.0,0.0,0.7042857142857143,0.7528571428571428,0.7057142857142856,0.6642857142857144,0.0,6.445714285714287,5.597142857142857,8.73,234.82857142857142,232.84285714285716,235.08571428571426,1.5131528571428572,1.30569,2.053734285714286,4.870514285714285,1.1746372857142855,0.9204577142857142,1.3566514285714286
2026-01-27 05:15:00+00:00,0.0,2.0277777777777777,0.0,0.0,0.7299999999999999,0.83,0.71,0.66,0.0,8.04,5.61,8.73,234.6,233.1,235.3,1.88301,1.30929,2.05067,5.23903,1.55719,0.922712,1.3569599999999997
2026-01-27 05:30:00+00:00,0.0,1.9210526315789473,0.0,0.0,0.7128571428571429,0.7785714285714286,0.71,0.66,0.0,6.971428571428571,5.607142857142857,8.73,234.77142857142854,233.04285714285714,235.3,1.6336957142857145,1.3067757142857144,2.050675714285714,4.988112857142857,1.300841142857143,0.9218617142857143,1.3581742857142858
2026-01-27 05:45:00+00:00,0.0,1.972972972972973,0.0,0.0,0.67,0.65,0.7014285714285714,0.66,0.0,4.3,5.6,8.721428571428572,235.2,232.81428571428572,235.12857142857143,1.0113785714285715,1.3032585714285714,2.0486842857142857,4.365397142857143,0.6595738571428571,0.9189808571428572,1.3529814285714286
2026-01-27 06:00:00+00:00,0.0,1.9444444444444444,0.0,0.0,0.6757142857142858,0.6557142857142857,0.71,0.6657142857142857,0.0,4.3,5.6,8.704285714285714,235.22857142857143,232.81428571428572,234.95714285714286,1.0066685714285715,1.2929257142857142,2.0407585714285714,4.339711428571428,0.6611285714285715,0.919064857142857,1.360725714285714
2026-01-27 06:15:00+00:00,0.0,2.0,0.0,0.0,0.67,0.66,0.71,0.66,0.0,7.37,5.58,8.72,234.2,232.4,234.6,1.00624,1.29701,2.0413,4.33881,0.660368,0.913972,1.34863
2026-01-27 06:30:00+00:00,0.0,2.0,0.0,0.0,0.6957142857142857,0.7328571428571429,0.7057142857142856,0.66,0.0,6.7542857142857144,5.585714285714286,8.724285714285715,234.68571428571428,232.8857142857143,235.1142857142857,1.3786214285714284,1.3005514285714284,2.0494728571428573,4.724212857142858,1.0404954285714285,0.9173314285714286,1.3585742857142855
2026-01-27 06:45:00+00:00,0.0,2.0277777777777777,0.0,0.0,0.67,0.6528571428571429,0.7042857142857143,0.66,0.0,4.312857142857143,5.605714285714286,8.731428571428571,235.68571428571428,233.17142857142855,235.47142857142856,1.0150671428571427,1.3042342857142857,2.0591,4.380374285714286,0.6628738571428572,0.9212271428571428,1.3617428571428571
2026-01-27 07:00:00+00:00,0.0,2.0,0.0,0.0,0.67,0.65,0.7071428571428571,0.66,0.0,4.315714285714285,5.605714285714285,8.734285714285715,235.57142857142858,233.22857142857143,235.52857142857144,1.0146528571428572,1.3055742857142858,2.0574285714285714,4.377991428571429,0.6611372857142858,0.9193702857142857,1.357817142857143
2026-01-27 07:15:00+00:00,0.0,2.0,0.0,0.0,0.67,0.65,0.7,0.66,0.0,4.33,5.61,8.768571428571429,236.0,233.6142857142857,236.02857142857144,1.0187314285714286,1.3058242857142857,2.06598,4.390854285714285,0.6616162857142857,0.916992857142857,1.3657328571428573
