result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_total,power_l1,power_l2,power_l3,power_total
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.85714285714286,236.42857142857142,238.28571428571428,0.302402,0.10204042857142857,0.07745401428571429,0.0900967142857143,0.2697752857142857
0.0,2.048780487804878,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.925,236.4875,238.25,0.302559875,0.1022705,0.077329675,0.09021414999999999,0.270059375
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,238.4,236.95714285714286,238.71428571428572,0.3035238571428572,0.10233028571428572,0.07759347142857143,0.09060054285714285,0.2706655714285714
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,238.67142857142858,237.17142857142858,238.94285714285712,0.3039294285714286,0.102618,0.07786831428571428,0.0903732,0.27076828571428574
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,238.6125,237.1,238.925,0.304398375,0.10277649999999999,0.0778179,0.0906291625,0.271332375
0.0,2.0555555555555554,0.0,0.0,0.89,0.0,0.44,0.35,0.48,238.75714285714284,237.32857142857142,239.12857142857143,0.304226,0.10288857142857143,0.07780782857142857,0.0907808857142857,0.2712592857142857
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.4825,238.75,237.275,239.0125,0.304118375,0.102531625,0.07761585,0.0905787125,0.27080550000000003
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48428571428571426,238.55714285714288,237.1,238.8857142857143,0.3036962857142857,0.10249528571428572,0.07758638571428571,0.09074637142857143,0.270914
0.0,1.9761904761904763,0.0,0.0,0.89,0.0,0.44,0.35,0.48375,238.625,237.1375,238.9,0.303571125,0.10234249999999999,0.0776417,0.0904101875,0.270590125
0.0,2.0,0.0,0.0,0.89,0.0,0.44,0.35,0.48,238.2625,236.925,238.57500000000002,0.30316187499999997,0.102243,0.0774566625,0.0903657125,0.27019825
0.0,2.0555555555555554,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.9,236.54285714285714,238.37142857142857,0.3027402857142857,0.10229014285714286,0.07755211428571429,0.09035312857142856,0.2704398571428571
0.0,2.0555555555555554,0.0,0.0,0.89,0.0,0.44,0.35,0.48,237.17142857142858,235.85714285714286,237.67142857142858,0.3013877142857143,0.10179714285714285,0.0772458142857143,0.09010451428571428,0.2690942857142857
0.0,2.048780487804878,0.0,0.0,0.89,0.0,0.44,0.35,0.48,236.4375,234.925,236.8,0.300312625,0.101270625,0.07696781250000001,0.0894904125,0.267763
0.0,1.975609756097561,0.0,0.0,0.89125,0.0,0.44,0.35,0.48,235.7625,234.325,235.95,0.299167625,0.10105225,0.07672775,0.0895179375,0.267281875
0.0,2.0,0.0,0.0,0.8928571428571429,0.0,0.44,0.35,0.48,234.67142857142858,233.28571428571428,234.9,0.2971728571428572,0.10075314285714286,0.07667327142857142,0.08879172857142857,0.266239
0.0,2.0555555555555554,0.0,0.0,0.7971428571428572,0.0,0.6114285714285714,0.5285714285714286,0.6857142857142857,234.1142857142857,232.64285714285714,234.17142857142858,0.4257054285714286,0.12401014285714286,0.09833725714285714,0.11430118571428571,0.3366924285714286
0.0,2.0,0.0,0.0,0.78,0.0,0.64,0.55,0.715,233.225,231.65,233.175,0.4435455,0.12757125,0.10158149999999999,0.117729125,0.346802875
0.0,2.0,0.0,0.0,0.78625,0.0,0.63375,0.55,0.71,231.925,230.4,231.975,0.43841675,0.12660925,0.100911,0.116766125,0.34426975
0.0,2.0555555555555554,0.0,0.0,0.7828571428571429,0.0,0.6371428571428571,0.5528571428571428,0.7171428571428571,233.64285714285714,232.14285714285714,233.65714285714284,0.44458600000000004,0.127856,0.10166171428571429,0.11778685714285715,0.3470614285714286
