time,result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,power_total
2025-11-20 16:15:00+00:00,0.0,1.4848484848484849,e0205,0.0,0.795,0.0,1.41,0.04,0.3375,236.075,234.25,236.975,0.33420249999999996
2025-11-20 16:30:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.38,0.04,0.33,235.5375,233.7125,236.45,0.32243974999999997
2025-11-20 16:45:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.3849999999999998,0.04,0.33,235.8875,234.15,236.875,0.32300562499999996
2025-11-20 17:00:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,236.52857142857144,234.65714285714284,237.45714285714286,0.323934
2025-11-20 17:15:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,236.63333333333333,234.86666666666667,237.56666666666666,0.32403966666666667
2025-11-20 17:30:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,236.8857142857143,235.14285714285714,237.91428571428574,0.32429142857142856
2025-11-20 17:45:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.275,235.575,238.22500000000002,0.325537875
2025-11-20 18:00:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.6,235.85,238.60000000000002,0.32629949999999996
2025-11-20 18:15:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,237.84285714285716,236.07142857142858,238.81428571428572,0.326498
2025-11-20 18:30:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39875,0.04,0.33,237.75,236.0625,238.625,0.326397625
2025-11-20 18:45:00+00:00,0.0,1.4848484848484849,e0205,0.0,0.78,0.0,1.3924999999999998,0.04,0.33,237.675,235.95000000000002,238.75,0.326101
2025-11-20 19:00:00+00:00,0.0,1.5151515151515151,e0205,0.0,0.77,0.0,1.4,0.04,0.33,238.3,236.55,239.25,0.327218
2025-11-20 19:15:00+00:00,0.0,1.5151515151515151,e0205,0.0,0.77,0.0,1.4,0.04,0.33,238.175,236.5,239.075,0.32683325
2025-11-20 19:30:00+00:00,0.0,1.5,e0205,0.0,0.77,0.0,1.4,0.04,0.33,238.425,236.8,239.25,0.327830875
2025-11-20 19:45:00+00:00,0.0,1.5,e0205,0.0,0.77,0.0,1.4,0.04,0.33,238.2875,236.54999999999998,239.1875,0.32787612499999996
2025-11-20 20:00:00+00:00,0.0,1.5,e0205,0.0,0.7700000000000001,0.0,1.4014285714285712,0.04,0.33,238.79999999999998,237.1,239.67142857142858,0.3287071428571428
2025-11-20 20:15:00+00:00,0.0,1.5,e0205,0.0,0.7700000000000001,0.0,1.4,0.04,0.33,239.2,237.5,240.02857142857144,0.3288107142857143
2025-11-20 20:30:00+00:00,0.0,1.5,e0205,0.0,0.77,0.0,1.4,0.04,0.33,239.05,237.17499999999998,239.7875,0.32899062500000004
2025-11-20 20:45:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.7700000000000001,0.0,1.4,0.04,0.33,239.35714285714286,237.71428571428572,240.18571428571428,0.32910685714285715
2025-11-20 21:00:00+00:00,0.0,1.5,e0205,0.0,0.77,0.0,1.4,0.04,0.33,239.075,237.4125,239.975,0.3284995
2025-11-20 21:15:00+00:00,0.0,1.5,e0205,0.0,0.77,0.0,1.3999999999999997,0.04,0.33,238.96666666666667,237.26666666666665,239.79999999999998,0.32811266666666666
2025-11-20 21:30:00+00:00,0.0,1.5,e0205,0.0,0.7722222222222223,0.0,1.4,0.04,0.33,238.5222222222222,236.84444444444443,239.33333333333334,0.3275741111111111
2025-11-20 21:45:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.4,0.04,0.33,237.91428571428568,236.24285714285716,238.78571428571428,0.32597185714285715
2025-11-20 22:00:00+00:00,0.0,1.5294117647058822,e0205,0.0,0.78,0.0,1.39625,0.04,0.33,237.625,235.9,238.4,0.32545087500000003
2025-11-20 22:15:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,236.97142857142856,235.34285714285716,237.8,0.32457528571428573
2025-11-20 22:30:00+00:00,0.0,1.5,e0205,0.0,0.78,0.0,1.39,0.04,0.33,236.4,234.625,237.175,0.323327
2025-11-20 22:45:00+00:00,0.0,1.4827586206896552,e0205,0.0,0.9342857142857143,0.0,5.67,4.925714285714285,4.871428571428572,234.67142857142858,232.91428571428574,235.45714285714286,3.379972857142857
2025-11-20 23:00:00+00:00,0.0,1.5294117647058822,e0205,0.0,0.94,0.0,5.6825,4.915,4.84875,234.20000000000002,232.32500000000002,234.9,3.375715
2025-11-20 23:15:00+00:00,0.0,1.5,e0205,0.0,0.94,0.0,5.7,4.881666666666667,4.841666666666666,233.4,231.70000000000002,234.11666666666665,3.3548283333333337
2025-11-20 23:30:00+00:00,0.0,1.5151515151515151,e0205,0.0,0.94,0.0,5.7225,4.88,4.8625,232.425,230.6375,233.0625,3.35796
2025-11-20 23:45:00+00:00,0.0,1.5,e0205,0.0,0.9400000000000001,0.0,5.764285714285714,4.909999999999999,4.885714285714286,231.3857142857143,229.58571428571426,231.92857142857142,3.3705571428571424
2025-11-21 00:00:00+00:00,0.0,1.5151515151515151,e0205,0.0,0.94,0.0,5.76,4.91,4.885,231.89999999999998,230.10000000000002,232.45,3.37127
2025-11-21 00:15:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.9400000000000001,0.0,5.722857142857143,4.8585714285714285,4.867142857142857,233.1142857142857,231.37142857142857,233.82857142857142,3.3558114285714287
2025-11-21 00:30:00+00:00,0.0,1.5,e0205,0.0,0.9400000000000001,0.0,5.722857142857143,4.862857142857143,4.862857142857143,232.0,230.17142857142858,232.6285714285714,3.3520914285714283
2025-11-21 00:45:00+00:00,0.0,1.5151515151515151,e0205,0.0,0.94,0.0,5.7425,4.8825,4.87625,231.6375,229.83749999999998,232.1875,3.3558475
2025-11-21 01:00:00+00:00,0.0,1.5,e0205,0.0,0.94,0.0,5.7250000000000005,4.88,4.8675,231.35,229.575,232.025,3.34892625
2025-11-21 01:15:00+00:00,0.0,1.5,e0205,0.0,0.94,0.0,5.726666666666667,4.886666666666667,4.87,231.20000000000002,229.4333333333333,231.86666666666667,3.3444933333333338
2025-11-21 01:30:00+00:00,0.0,1.5172413793103448,e0205,0.0,0.9357142857142857,0.0,5.704285714285715,4.859999999999999,4.845714285714286,232.31428571428572,230.45714285714286,232.92857142857142,3.340265714285714
2025-11-21 01:45:00+00:00,0.0,1.5,e0205,0.0,0.93,0.0,5.692857142857143,4.828571428571428,4.82,234.37142857142857,232.57142857142858,234.97142857142856,3.3507700000000002
2025-11-21 02:00:00+00:00,0.0,1.4848484848484849,e0205,0.0,0.93875,0.0,5.71,4.85625,4.83875,233.4625,231.6625,234.0625,3.34468375
2025-11-21 02:15:00+00:00,0.0,1.4827586206896552,e0205,0.0,0.937142857142857,0.0,5.692857142857143,4.839999999999999,4.822857142857144,233.94285714285712,232.1,234.58571428571426,3.3478485714285715
